"","x"
"1",0.977609427609428
"2",0.994152046783626
"3",0.963235294117647
"4",0.965602207766608
"5",0.966292985911225
"6",0.969316123188406
"7",0.944139194139194
"8",0.994252873563218
"9",0.941868279569892
"10",0.938838648262732
