"","x"
"1",0.806272355646398
"2",0.857396449704142
"3",0.713363187954309
"4",0.708768554150632
"5",0.776578813343519
"6",0.734653949620934
"7",0.767787297448314
"8",0.827936746987952
"9",0.807009167303285
"10",0.730141879823409
